Id,SalePrice
1461,124563.586
1462,157483.86
1463,173258.02
1464,190549.11
1465,214231.34
1466,187862.39
1467,164796.78
1468,183023.47
1469,171036.3
1470,112924.83
1471,180818.05
1472,123160.64
1473,109581.984
1474,175101.5
1475,135514.44
1476,298813.1
1477,250887.11
1478,235917.8
1479,297329.22
1480,359642.84
1481,308819.56
1482,178587.42
1483,149402.05
1484,181022.16
1485,159933.36
1486,202671.8
1487,298099.5
1488,259340.61
1489,166179.28
1490,170096.6
1491,166441.78
1492,107455.51
1493,191101.08
1494,264708.72
1495,297566.1
1496,222210.28
1497,182345.22
1498,190525.86
1499,167599.45
1500,128845.94
1501,169365.6
1502,140512.42
1503,286196.53
1504,231823.84
1505,202741.78
1506,191438.53
1507,226367.72
1508,208243.19
1509,140286.4
1510,143259.05
1511,134285.33
1512,143947.78
1513,168486.16
1514,155389.86
1515,165117.08
1516,157503.98
1517,156859.7
1518,119748.57
1519,203625.77
1520,127488.83
1521,148558.11
1522,132589.16
1523,133432.58
1524,115558.12
1525,135129.1
1526,127717.125
1527,121644.195
1528,157361.5
1529,130038.79
1530,145390.77
1531,154925.23
1532,122083.03
1533,111909.45
1534,134707.58
1535,149809.67
1536,106398.055
1537,73420.36
1538,165325.84
1539,194021.08
1540,97641.19
1541,136502.55
1542,150198.78
1543,245589.8
1544,90552.05
1545,104605.16
1546,136175.4
1547,126944.82
1548,126381.914
1549,91898.69
1550,147478.94
1551,108147.81
1552,152276.98
1553,152791.5
1554,128416.83
1555,171647.44
1556,105265.445
1557,121230.28
1558,112635.82
1559,93193.51
1560,122412.15
1561,153270.19
1562,103652.43
1563,116661.1
1564,125528.46
1565,143577.73
1566,205248.84
1567,72313.05
1568,175849.38
1569,127529.08
1570,129709.33
1571,113244.05
1572,149204.14
1573,249004.97
1574,115739.55
1575,199327.88
1576,198236.88
1577,180625.88
1578,172540.58
1579,135942.5
1580,188234.7
1581,153703.33
1582,104545.22
1583,283292.3
1584,252913.69
1585,127254.27
1586,64887.793
1587,123627.7
1588,126898.09
1589,85230.54
1590,141579.64
1591,110444.82
1592,115075.0
1593,142000.44
1594,184740.44
1595,158958.5
1596,250737.12
1597,193479.33
1598,232238.08
1599,196915.84
1600,179680.77
1601,58120.293
1602,135140.56
1603,96278.51
1604,289398.7
1605,277921.6
1606,125805.18
1607,136648.95
1608,178498.7
1609,166870.75
1610,156780.6
1611,142583.14
1612,188069.44
1613,155193.78
1614,136413.28
1615,90655.734
1616,75760.66
1617,87149.1
1618,123811.414
1619,121938.055
1620,151621.27
1621,154526.67
1622,167662.27
1623,256571.34
1624,154966.16
1625,120716.89
1626,147601.2
1627,179861.64
1628,302000.53
1629,176701.34
1630,299232.84
1631,211644.83
1632,245240.14
1633,178822.78
1634,192795.61
1635,180386.42
1636,150788.66
1637,199505.88
1638,229471.8
1639,210674.6
1640,250560.72
1641,176306.95
1642,190492.78
1643,200127.11
1644,216757.25
1645,143355.95
1646,162547.72
1647,164610.17
1648,119811.164
1649,152178.12
1650,134081.1
1651,109591.7
1652,113196.87
1653,119233.6
1654,142235.47
1655,149574.4
1656,161375.22
1657,201554.23
1658,176733.7
1659,115887.44
1660,166059.2
1661,417475.56
1662,346236.1
1663,261410.03
1664,314305.3
1665,252419.47
1666,256601.94
1667,364862.8
1668,274953.9
1669,270318.12
1670,280824.06
1671,206217.69
1672,364076.6
1673,263526.66
1674,227258.89
1675,154347.58
1676,152756.39
1677,214721.02
1678,292902.2
1679,283677.0
1680,302157.84
1681,241129.47
1682,253405.0
1683,163463.48
1684,183010.2
1685,187203.89
1686,137109.62
1687,198042.81
1688,166735.84
1689,173811.94
1690,201594.4
1691,154023.8
1692,312246.84
